person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status,rate_deviation
90000,MORTGAGE,6.0,EDUCATION,A,4800,7.51,0.05,N,0,0.17482415173465515
60000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,10000,10.59,0.17,N,0,-0.44473284313725436
87000,RENT,0.0,HOMEIMPROVEMENT,A,8500,9.38,0.1,N,0,2.044824151734656
146000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,10000,13.72,0.07,Y,0,0.20965748459586742
30000,RENT,4.0,PERSONAL,C,7500,11.78,0.25,Y,0,-1.7303425154041339
50000,RENT,1.0,VENTURE,A,5000,6.62,0.1,N,0,-0.7151758482653445
69000,MORTGAGE,8.0,PERSONAL,C,24000,12.23,0.34,N,0,-1.2803425154041328
55000,RENT,6.0,EDUCATION,C,3000,14.65,0.05,N,0,1.1396574845958671
120000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,3600,6.92,0.03,N,0,-0.4151758482653447
85000,MORTGAGE,13.0,EDUCATION,A,10000,6.62,0.12,N,0,-0.7151758482653445
48500,RENT,1.0,EDUCATION,B,15000,9.25,0.31,N,1,-1.7847328431372542
31200,RENT,3.0,EDUCATION,A,4000,7.88,0.13,N,0,0.5448241517346553
65000,RENT,5.0,VENTURE,C,15000,14.79,0.23,N,0,1.279657484595866
54000,RENT,5.0,HOMEIMPROVEMENT,B,2800,10.74,0.05,N,1,-0.294732843137254
75000,RENT,3.0,HOMEIMPROVEMENT,A,12000,7.49,0.16,N,0,0.15482415173465558
28800,OWN,2.0,VENTURE,B,10000,10.99,0.35,N,0,-0.04473284313725401
90000,MORTGAGE,16.0,PERSONAL,A,12000,6.03,0.13,N,0,-1.3051758482653444
50000,RENT,4.0,HOMEIMPROVEMENT,D,8450,17.27,0.18,N,0,1.8654012713547878
25000,RENT,6.0,MEDICAL,B,10000,10.65,0.4,N,1,-0.38473284313725387
50100,RENT,1.0,DEBTCONSOLIDATION,B,6000,10.0,0.12,N,0,-1.0347328431372542
69000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,10000,16.07,0.14,Y,1,0.6654012713547885
40000,RENT,5.0,MEDICAL,B,5000,11.71,0.13,N,0,0.6752671568627466
49000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,8500,8.9,0.17,N,0,1.5648241517346557
96000,RENT,3.0,EDUCATION,C,12000,13.49,0.13,N,0,-0.02034251540413301
96000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,6600,10.99,0.07,N,0,-0.04473284313725401
51000,RENT,11.0,DEBTCONSOLIDATION,D,1500,16.29,0.03,Y,1,0.8854012713547874
80000,RENT,4.0,EDUCATION,C,16000,13.49,0.2,Y,0,-0.02034251540413301
45000,MORTGAGE,8.0,PERSONAL,A,10000,7.51,0.22,N,0,0.17482415173465515
59484,MORTGAGE,13.0,VENTURE,B,5500,10.99,0.09,N,0,-0.04473284313725401
45000,RENT,5.0,MEDICAL,A,7000,7.88,0.16,N,0,0.5448241517346553
54000,RENT,0.0,PERSONAL,D,10000,14.74,0.19,Y,1,-0.6645987286452115
43000,RENT,0.0,DEBTCONSOLIDATION,A,4000,7.29,0.09,N,0,-0.0451758482653446
65000,RENT,5.0,DEBTCONSOLIDATION,A,4000,6.76,0.06,N,0,-0.5751758482653448
61200,MORTGAGE,0.0,EDUCATION,A,8000,6.62,0.13,N,0,-0.7151758482653445
51600,MORTGAGE,2.0,EDUCATION,A,12000,6.92,0.22,N,0,-0.4151758482653447
105000,RENT,10.0,HOMEIMPROVEMENT,A,15000,8.49,0.14,N,0,1.1548241517346556
75000,RENT,0.0,MEDICAL,A,16100,7.9,0.21,N,0,0.5648241517346557
65004,MORTGAGE,6.0,MEDICAL,A,4000,9.63,0.06,N,0,2.294824151734656
80004,MORTGAGE,6.0,PERSONAL,B,12000,11.36,0.15,N,0,0.3252671568627452
81120,MORTGAGE,3.0,EDUCATION,B,24000,10.75,0.3,N,0,-0.2847328431372542
28000,RENT,1.0,PERSONAL,C,6500,11.66,0.23,N,0,-1.850342515404133
32000,RENT,14.0,MEDICAL,A,9600,8.59,0.3,N,0,1.2548241517346552
24000,RENT,5.0,EDUCATION,A,6000,6.62,0.25,N,0,-0.7151758482653445
50000,RENT,0.0,PERSONAL,A,12500,7.51,0.25,N,0,0.17482415173465515
60000,RENT,8.0,DEBTCONSOLIDATION,B,18000,10.74,0.28,N,1,-0.294732843137254
160000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,35000,15.23,0.22,Y,0,1.7196574845958672
19200,RENT,1.0,HOMEIMPROVEMENT,C,4000,15.23,0.21,Y,1,1.7196574845958672
40000,MORTGAGE,5.0,EDUCATION,A,5000,7.9,0.13,N,0,0.5648241517346557
24000,OWN,0.0,EDUCATION,A,2000,7.29,0.08,N,0,-0.0451758482653446
31200,OWN,4.0,EDUCATION,A,6000,8.9,0.19,N,0,1.5648241517346557
60000,MORTGAGE,3.0,VENTURE,C,9600,13.11,0.16,N,0,-0.4003425154041338
38000,RENT,8.0,PERSONAL,A,12000,7.29,0.32,N,1,-0.0451758482653446
83100,RENT,8.0,MEDICAL,F,8000,18.43,0.09,N,1,-0.18093959731543663
50000,MORTGAGE,5.0,PERSONAL,A,10000,7.88,0.2,N,0,0.5448241517346553
40000,RENT,2.0,VENTURE,A,4000,7.14,0.1,N,0,-0.19517584826534495
50000,MORTGAGE,6.0,MEDICAL,A,6000,7.51,0.12,N,0,0.17482415173465515
58000,MORTGAGE,7.0,VENTURE,B,25000,10.99,0.46,N,0,-0.04473284313725401
55000,RENT,0.0,HOMEIMPROVEMENT,A,8500,8.94,0.15,N,0,1.6048241517346549
36000,RENT,0.0,VENTURE,B,3000,11.11,0.08,N,0,0.07526715686274521
95000,MORTGAGE,10.0,HOMEIMPROVEMENT,D,17000,16.49,0.18,Y,0,1.0854012713547867
49000,MORTGAGE,2.0,DEBTCONSOLIDATION,E,15000,16.63,0.31,N,1,-0.3009613478691797
84500,MORTGAGE,4.0,PERSONAL,A,6000,6.99,0.08,N,0,-0.3451758482653444
72000,RENT,4.0,PERSONAL,A,6200,7.49,0.09,N,0,0.15482415173465558
70000,MORTGAGE,7.0,MEDICAL,B,5000,11.49,0.07,N,0,0.455267156862746
27000,RENT,0.0,PERSONAL,B,2000,12.21,0.07,N,0,1.1752671568627466
70000,MORTGAGE,7.0,PERSONAL,B,15000,12.18,0.21,N,0,1.1452671568627455
29000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,6400,12.68,0.22,N,0,-0.8303425154041335
54000,RENT,0.0,PERSONAL,D,10000,14.11,0.19,N,1,-1.2945987286452123
117600,MORTGAGE,12.0,VENTURE,C,12000,13.99,0.1,Y,0,0.479657484595867
42000,RENT,2.0,DEBTCONSOLIDATION,D,10000,14.96,0.24,Y,1,-0.4445987286452109
33000,RENT,1.0,VENTURE,A,10000,7.49,0.3,N,0,0.15482415173465558
52000,RENT,5.0,MEDICAL,A,10000,6.92,0.19,N,0,-0.4151758482653447
96000,MORTGAGE,7.0,EDUCATION,B,20000,12.69,0.21,N,0,1.6552671568627453
65000,MORTGAGE,10.0,MEDICAL,C,10500,14.65,0.16,N,0,1.1396574845958671
50000,RENT,3.0,HOMEIMPROVEMENT,A,10000,7.14,0.2,N,0,-0.19517584826534495
40000,MORTGAGE,0.0,EDUCATION,A,1000,6.76,0.03,N,0,-0.5751758482653448
75000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,6000,9.99,0.08,N,0,-1.044732843137254
106000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,5000,14.27,0.05,Y,0,0.7596574845958664
45000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,14400,12.42,0.32,N,0,1.3852671568627457
20000,RENT,5.0,VENTURE,A,5000,5.79,0.25,N,0,-1.5451758482653446
47000,RENT,6.0,PERSONAL,B,3000,11.12,0.06,N,0,0.085267156862745
72000,OWN,15.0,VENTURE,B,8000,11.49,0.11,N,0,0.455267156862746
60000,RENT,2.0,DEBTCONSOLIDATION,C,8000,13.61,0.13,N,0,0.09965748459586621
40000,RENT,2.0,EDUCATION,A,4000,8.49,0.1,N,0,1.1548241517346556
29120,RENT,0.0,DEBTCONSOLIDATION,B,1200,10.99,0.04,N,0,-0.04473284313725401
50000,RENT,5.0,DEBTCONSOLIDATION,B,10000,11.71,0.2,N,0,0.6752671568627466
70000,RENT,4.0,VENTURE,A,9000,7.29,0.13,N,0,-0.0451758482653446
100000,RENT,4.0,MEDICAL,A,15000,7.29,0.15,N,0,-0.0451758482653446
57300,RENT,7.0,EDUCATION,D,14000,14.54,0.26,Y,0,-0.8645987286452126
16800,RENT,0.0,HOMEIMPROVEMENT,B,5000,12.18,0.3,N,1,1.1452671568627455
100000,RENT,6.0,PERSONAL,C,20000,13.79,0.2,N,0,0.2796574845958659
60000,RENT,0.0,PERSONAL,B,3000,11.11,0.05,N,0,0.07526715686274521
72000,MORTGAGE,3.0,EDUCATION,B,12000,11.99,0.17,N,0,0.955267156862746
45000,OWN,11.0,PERSONAL,A,8000,7.51,0.18,N,0,0.17482415173465515
59200,RENT,3.0,MEDICAL,C,10000,14.22,0.17,N,0,0.7096574845958674
28000,MORTGAGE,6.0,EDUCATION,A,4000,6.76,0.14,N,0,-0.5751758482653448
36000,RENT,6.0,PERSONAL,C,2000,14.65,0.06,Y,0,1.1396574845958671
67500,RENT,1.0,EDUCATION,A,13000,9.63,0.19,N,0,2.294824151734656
72100,MORTGAGE,2.0,VENTURE,B,15000,10.25,0.21,N,0,-0.7847328431372542
72000,MORTGAGE,9.0,VENTURE,B,16000,11.11,0.22,N,0,0.07526715686274521
120000,MORTGAGE,12.0,VENTURE,B,12000,12.53,0.1,N,0,1.4952671568627451
30000,RENT,1.0,DEBTCONSOLIDATION,A,10000,7.29,0.33,N,1,-0.0451758482653446
50000,RENT,3.0,EDUCATION,B,15000,11.71,0.3,N,0,0.6752671568627466
20000,RENT,2.0,MEDICAL,B,4750,10.37,0.24,N,0,-0.664732843137255
55000,MORTGAGE,16.0,VENTURE,A,10000,7.49,0.18,N,0,0.15482415173465558
31200,RENT,4.0,DEBTCONSOLIDATION,D,12300,14.96,0.39,N,1,-0.4445987286452109
60000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,6000,7.88,0.1,N,0,0.5448241517346553
45000,RENT,4.0,MEDICAL,B,6000,11.49,0.13,N,0,0.455267156862746
170000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,12000,11.11,0.07,N,0,0.07526715686274521
95950,RENT,2.0,EDUCATION,D,28250,14.54,0.27,N,1,-0.8645987286452126
120000,MORTGAGE,2.0,EDUCATION,B,25000,11.86,0.21,N,0,0.8252671568627452
54000,MORTGAGE,0.0,PERSONAL,B,13575,9.91,0.25,N,0,-1.124732843137254
95000,MORTGAGE,13.0,EDUCATION,A,16000,7.49,0.17,N,0,0.15482415173465558
66000,OWN,7.0,VENTURE,A,15000,6.03,0.23,N,0,-1.3051758482653444
136092,MORTGAGE,2.0,PERSONAL,C,8000,13.61,0.06,N,0,0.09965748459586621
60000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,7000,6.92,0.12,N,0,-0.4151758482653447
32124,RENT,4.0,DEBTCONSOLIDATION,D,6000,16.77,0.19,N,0,1.3654012713547878
70000,RENT,5.0,VENTURE,B,10000,9.91,0.14,N,0,-1.124732843137254
120000,MORTGAGE,7.0,EDUCATION,B,8000,9.99,0.07,N,0,-1.044732843137254
100000,MORTGAGE,3.0,EDUCATION,B,15000,9.88,0.15,N,0,-1.1547328431372534
55000,MORTGAGE,2.0,EDUCATION,B,5500,10.99,0.1,N,0,-0.04473284313725401
118320,MORTGAGE,11.0,PERSONAL,C,20000,13.48,0.18,N,0,-0.030342515404132797
80000,RENT,13.0,DEBTCONSOLIDATION,B,12000,10.37,0.15,N,0,-0.664732843137255
132000,RENT,10.0,PERSONAL,B,10000,9.25,0.08,N,0,-1.7847328431372542
122000,MORTGAGE,4.0,PERSONAL,A,12000,7.66,0.1,N,0,0.3248241517346555
65000,RENT,2.0,PERSONAL,C,10000,13.48,0.15,N,0,-0.030342515404132797
36000,RENT,2.0,VENTURE,C,12000,14.27,0.33,Y,0,0.7596574845958664
38450,MORTGAGE,6.0,PERSONAL,A,10000,7.49,0.26,N,0,0.15482415173465558
59256,RENT,1.0,MEDICAL,C,17600,12.99,0.3,N,0,-0.520342515404133
117516,MORTGAGE,3.0,MEDICAL,C,21000,13.49,0.18,N,0,-0.02034251540413301
55000,RENT,2.0,PERSONAL,C,2000,13.72,0.04,N,0,0.20965748459586742
80000,MORTGAGE,2.0,PERSONAL,A,1500,7.51,0.02,N,0,0.17482415173465515
158004,RENT,2.0,HOMEIMPROVEMENT,D,5000,14.84,0.32,Y,1,-0.5645987286452119
112500,MORTGAGE,15.0,EDUCATION,C,16000,13.85,0.14,N,0,0.3396574845958664
48000,RENT,7.0,EDUCATION,B,5000,11.71,0.1,N,0,0.6752671568627466
60000,RENT,1.0,DEBTCONSOLIDATION,C,6000,13.98,0.1,N,0,0.4696574845958672
110000,OWN,2.0,EDUCATION,B,20000,11.83,0.18,N,0,0.7952671568627458
60000,MORTGAGE,6.0,EDUCATION,B,10000,11.36,0.17,N,0,0.3252671568627452
39000,RENT,1.0,MEDICAL,B,12000,11.99,0.31,N,1,0.955267156862746
30000,RENT,2.0,VENTURE,C,5000,12.22,0.17,N,0,-1.2903425154041326
34000,RENT,2.0,VENTURE,C,8000,12.53,0.24,Y,0,-0.9803425154041339
50000,RENT,2.0,DEBTCONSOLIDATION,A,3000,7.51,0.06,N,0,0.17482415173465515
60000,OWN,7.0,EDUCATION,D,8000,15.7,0.13,N,0,0.29540127135478755
54000,MORTGAGE,5.0,MEDICAL,B,5000,11.99,0.09,N,1,0.955267156862746
39996,RENT,12.0,DEBTCONSOLIDATION,B,3500,11.49,0.09,N,0,0.455267156862746
24000,RENT,2.0,PERSONAL,A,3500,5.99,0.15,N,0,-1.3451758482653444
55000,RENT,7.0,MEDICAL,A,7500,8.0,0.14,N,0,0.6648241517346554
40000,RENT,2.0,MEDICAL,B,4000,12.42,0.1,N,0,1.3852671568627457
78000,RENT,3.0,MEDICAL,B,25000,9.91,0.31,N,1,-1.124732843137254
80000,RENT,7.0,EDUCATION,B,8000,10.0,0.1,N,0,-1.0347328431372542
80000,RENT,6.0,EDUCATION,B,1500,11.86,0.02,N,0,0.8252671568627452
28000,RENT,2.0,EDUCATION,B,3000,10.59,0.1,N,0,-0.44473284313725436
45000,RENT,6.0,MEDICAL,B,7000,12.69,0.16,N,0,1.6552671568627453
84000,MORTGAGE,1.0,PERSONAL,B,20000,10.99,0.24,N,0,-0.04473284313725401
86000,RENT,2.0,DEBTCONSOLIDATION,B,6000,9.99,0.07,N,0,-1.044732843137254
32000,RENT,3.0,HOMEIMPROVEMENT,A,3000,6.17,0.09,N,1,-1.1651758482653447
60000,MORTGAGE,13.0,PERSONAL,A,10000,7.14,0.17,N,0,-0.19517584826534495
75000,RENT,1.0,PERSONAL,A,4000,5.79,0.05,N,0,-1.5451758482653446
30000,RENT,6.0,MEDICAL,C,7000,13.98,0.23,Y,0,0.4696574845958672
42000,MORTGAGE,3.0,PERSONAL,B,2000,11.36,0.05,N,1,0.3252671568627452
110000,MORTGAGE,0.0,PERSONAL,A,5000,5.42,0.05,N,0,-1.9151758482653447
80000,RENT,10.0,VENTURE,B,10000,10.65,0.13,N,0,-0.38473284313725387
75000,MORTGAGE,0.0,VENTURE,B,12000,9.63,0.16,N,0,-1.4047328431372534
55000,MORTGAGE,4.0,MEDICAL,A,4000,7.51,0.07,N,0,0.17482415173465515
86004,RENT,2.0,DEBTCONSOLIDATION,B,10000,11.89,0.12,N,0,0.8552671568627463
41000,RENT,0.0,PERSONAL,B,11000,10.99,0.27,N,0,-0.04473284313725401
143485,MORTGAGE,10.0,PERSONAL,B,10000,10.62,0.07,N,0,-0.414732843137255
54000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,5000,11.49,0.09,N,0,0.455267156862746
75000,MORTGAGE,8.0,EDUCATION,B,12000,10.65,0.16,N,0,-0.38473284313725387
125000,OWN,0.0,HOMEIMPROVEMENT,B,24000,11.83,0.19,N,0,0.7952671568627458
33996,RENT,3.0,PERSONAL,D,5000,16.49,0.15,Y,0,1.0854012713547867
90000,RENT,5.0,MEDICAL,B,21500,11.36,0.24,N,0,0.3252671568627452
85000,RENT,4.0,MEDICAL,A,10000,8.9,0.12,N,0,1.5648241517346557
105000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,9600,6.91,0.09,N,0,-0.4251758482653445
37459,RENT,4.0,EDUCATION,C,5300,15.23,0.15,Y,0,1.7196574845958672
98004,RENT,8.0,PERSONAL,D,10000,15.7,0.1,Y,0,0.29540127135478755
42000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,7500,11.14,0.18,N,0,0.10526715686274635
121500,MORTGAGE,16.0,HOMEIMPROVEMENT,A,6000,7.49,0.05,N,0,0.15482415173465558
35000,RENT,2.0,VENTURE,A,2500,8.9,0.07,N,0,1.5648241517346557
112995,MORTGAGE,6.0,MEDICAL,A,2400,5.99,0.02,N,0,-1.3451758482653444
58800,OWN,16.0,PERSONAL,A,5000,7.29,0.09,N,0,-0.0451758482653446
46000,RENT,1.0,MEDICAL,B,9000,9.63,0.2,N,0,-1.4047328431372534
76000,RENT,2.0,HOMEIMPROVEMENT,A,20000,6.54,0.26,N,0,-0.7951758482653446
59578,RENT,4.0,DEBTCONSOLIDATION,D,6000,14.54,0.1,Y,1,-0.8645987286452126
70000,MORTGAGE,3.0,PERSONAL,C,10000,14.27,0.14,Y,0,0.7596574845958664
54000,MORTGAGE,2.0,EDUCATION,B,5000,11.49,0.09,N,0,0.455267156862746
35000,RENT,12.0,PERSONAL,A,8000,6.03,0.23,N,0,-1.3051758482653444
100000,RENT,5.0,PERSONAL,A,5000,7.14,0.05,N,0,-0.19517584826534495
30000,RENT,17.0,MEDICAL,D,8000,15.58,0.27,Y,0,0.17540127135478834
98000,RENT,6.0,HOMEIMPROVEMENT,D,20000,14.96,0.2,Y,1,-0.4445987286452109
110000,MORTGAGE,7.0,PERSONAL,B,16000,10.99,0.15,N,0,-0.04473284313725401
38400,OWN,3.0,MEDICAL,D,5000,15.37,0.13,N,0,-0.03459872864521252
102000,OWN,13.0,MEDICAL,B,6000,9.88,0.06,N,0,-1.1547328431372534
57000,MORTGAGE,10.0,PERSONAL,E,15200,16.35,0.26,N,0,-0.5809613478691773
56400,MORTGAGE,2.0,HOMEIMPROVEMENT,A,20000,7.49,0.35,N,0,0.15482415173465558
31000,RENT,1.0,PERSONAL,D,3200,14.42,0.11,Y,1,-0.9845987286452118
45000,RENT,0.0,MEDICAL,A,5000,7.51,0.11,N,0,0.17482415173465515
32000,RENT,22.0,VENTURE,B,12000,10.37,0.38,N,1,-0.664732843137255
56400,MORTGAGE,12.0,DEBTCONSOLIDATION,D,2400,14.96,0.04,Y,1,-0.4445987286452109
62900,RENT,5.0,MEDICAL,D,16000,14.96,0.22,Y,1,-0.4445987286452109
30000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,6600,7.51,0.21,N,0,0.17482415173465515
33996,RENT,11.0,MEDICAL,C,4000,13.16,0.12,Y,0,-0.3503425154041331
48000,MORTGAGE,0.0,MEDICAL,A,12000,7.9,0.25,N,0,0.5648241517346557
72000,RENT,8.0,EDUCATION,B,1600,11.86,0.02,N,0,0.8252671568627452
70000,RENT,3.0,HOMEIMPROVEMENT,D,8400,15.62,0.12,N,0,0.21540127135478748
150000,MORTGAGE,4.0,PERSONAL,E,20000,16.95,0.13,N,0,0.019038652130820566
69996,RENT,5.0,PERSONAL,A,3000,6.39,0.04,N,0,-0.945175848265345
75000,MORTGAGE,6.0,VENTURE,A,10000,7.51,0.13,N,0,0.17482415173465515
80000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,7.49,0.13,N,0,0.15482415173465558
35000,RENT,2.0,PERSONAL,B,5200,10.99,0.15,N,0,-0.04473284313725401
68000,RENT,5.0,PERSONAL,B,15000,11.71,0.22,N,0,0.6752671568627466
56000,MORTGAGE,8.0,EDUCATION,D,2400,14.46,0.04,Y,0,-0.9445987286452109
28500,RENT,3.0,EDUCATION,D,1600,14.84,0.06,N,0,-0.5645987286452119
57600,MORTGAGE,9.0,DEBTCONSOLIDATION,A,2400,5.42,0.04,N,0,-1.9151758482653447
50000,MORTGAGE,5.0,PERSONAL,D,2000,17.27,0.04,Y,0,1.8654012713547878
31200,RENT,3.0,DEBTCONSOLIDATION,D,6000,12.86,0.19,Y,0,-2.5445987286452123
42000,RENT,0.0,MEDICAL,B,5000,11.49,0.12,N,0,0.455267156862746
90000,MORTGAGE,8.0,EDUCATION,B,10000,12.18,0.11,N,0,1.1452671568627455
24000,RENT,0.0,HOMEIMPROVEMENT,E,5000,18.79,0.21,N,1,1.8590386521308204
59200,MORTGAGE,20.0,DEBTCONSOLIDATION,B,20000,12.21,0.34,N,1,1.1752671568627466
90000,MORTGAGE,3.0,VENTURE,B,25000,11.36,0.28,N,0,0.3252671568627452
75000,MORTGAGE,7.0,EDUCATION,B,5000,10.65,0.07,N,0,-0.38473284313725387
48000,RENT,2.0,MEDICAL,A,3500,8.59,0.07,N,0,1.2548241517346552
45000,MORTGAGE,2.0,MEDICAL,A,4200,7.51,0.1,N,0,0.17482415173465515
60000,RENT,3.0,EDUCATION,B,12000,10.38,0.2,N,0,-0.6547328431372534
62000,RENT,0.0,EDUCATION,A,7000,7.9,0.11,N,0,0.5648241517346557
80000,MORTGAGE,5.0,EDUCATION,B,19000,10.59,0.23,N,0,-0.44473284313725436
26400,RENT,3.0,VENTURE,A,3500,7.9,0.13,N,0,0.5648241517346557
35000,RENT,0.0,MEDICAL,B,6000,11.11,0.17,N,0,0.07526715686274521
90000,MORTGAGE,12.0,MEDICAL,A,12000,6.03,0.13,N,0,-1.3051758482653444
70000,RENT,9.0,DEBTCONSOLIDATION,B,7000,11.49,0.1,N,0,0.455267156862746
92500,RENT,6.0,MEDICAL,B,10000,11.49,0.11,N,0,0.455267156862746
36000,RENT,6.0,MEDICAL,A,6000,8.9,0.17,N,0,1.5648241517346557
39996,RENT,5.0,MEDICAL,A,6000,9.63,0.15,N,0,2.294824151734656
46800,MORTGAGE,10.0,DEBTCONSOLIDATION,A,8000,6.54,0.17,N,0,-0.7951758482653446
85000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,10000,7.51,0.12,N,0,0.17482415173465515
60000,RENT,3.0,PERSONAL,A,12000,6.03,0.2,N,0,-1.3051758482653444
48000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,7.49,0.21,N,0,0.15482415173465558
41004,RENT,5.0,EDUCATION,D,1000,14.61,0.03,Y,0,-0.7945987286452123
85000,MORTGAGE,7.0,EDUCATION,A,12000,6.91,0.14,N,0,-0.4251758482653445
60996,RENT,11.0,HOMEIMPROVEMENT,A,6000,9.63,0.1,N,0,2.294824151734656
53000,MORTGAGE,8.0,VENTURE,A,3825,5.42,0.08,N,0,-1.9151758482653447
140000,RENT,2.0,EDUCATION,B,10000,10.59,0.07,N,0,-0.44473284313725436
52000,MORTGAGE,6.0,VENTURE,A,5000,7.88,0.1,N,0,0.5448241517346553
90000,RENT,3.0,PERSONAL,B,12000,10.36,0.13,N,0,-0.6747328431372548
26400,RENT,1.0,DEBTCONSOLIDATION,B,10000,11.49,0.38,N,1,0.455267156862746
135000,RENT,9.0,MEDICAL,B,16000,10.59,0.12,N,0,-0.44473284313725436
33852,RENT,2.0,PERSONAL,F,17000,17.26,0.5,Y,1,-1.3509395973154348
40000,MORTGAGE,2.0,PERSONAL,B,10000,10.99,0.25,N,0,-0.04473284313725401
110000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,28000,6.54,0.25,N,0,-0.7951758482653446
55000,MORTGAGE,2.0,VENTURE,B,5000,10.59,0.09,N,0,-0.44473284313725436
75000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,4000,17.49,0.05,N,1,2.0854012713547867
45000,RENT,6.0,DEBTCONSOLIDATION,B,5000,12.69,0.11,N,0,1.6552671568627453
74500,RENT,1.0,PERSONAL,D,7500,14.96,0.1,Y,1,-0.4445987286452109
61959,RENT,9.0,DEBTCONSOLIDATION,C,25000,12.73,0.4,N,1,-0.7803425154041328
45000,OWN,9.0,MEDICAL,A,10000,8.49,0.22,N,0,1.1548241517346556
78000,RENT,0.0,DEBTCONSOLIDATION,D,10000,16.0,0.13,N,1,0.5954012713547883
26000,RENT,6.0,PERSONAL,B,10000,10.65,0.38,N,1,-0.38473284313725387
115000,RENT,4.0,EDUCATION,C,25000,13.43,0.22,Y,0,-0.08034251540413351
54528,MORTGAGE,6.0,MEDICAL,B,7000,11.26,0.13,N,0,0.22526715686274557
30000,OWN,3.0,VENTURE,A,4000,7.49,0.13,N,0,0.15482415173465558
48000,RENT,1.0,VENTURE,A,5000,6.99,0.1,N,0,-0.3451758482653444
55560,RENT,3.0,VENTURE,C,6000,14.26,0.11,Y,0,0.7496574845958666
70000,RENT,7.0,VENTURE,B,15000,10.37,0.21,N,0,-0.664732843137255
43000,RENT,0.0,MEDICAL,B,9000,10.59,0.21,N,0,-0.44473284313725436
67000,OWN,2.0,VENTURE,B,2800,10.99,0.04,N,0,-0.04473284313725401
60000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,6550,11.11,0.11,N,0,0.07526715686274521
51600,RENT,3.0,VENTURE,A,6000,8.94,0.12,N,0,1.6048241517346549
40000,RENT,1.0,PERSONAL,B,3825,10.0,0.1,N,0,-1.0347328431372542
45000,RENT,1.0,DEBTCONSOLIDATION,C,7200,13.79,0.16,N,0,0.2796574845958659
55000,MORTGAGE,1.0,EDUCATION,C,8000,13.79,0.15,Y,0,0.2796574845958659
25000,RENT,0.0,HOMEIMPROVEMENT,C,3000,13.11,0.12,N,1,-0.4003425154041338
38000,MORTGAGE,12.0,PERSONAL,A,7000,6.62,0.18,N,0,-0.7151758482653445
98000,MORTGAGE,11.0,HOMEIMPROVEMENT,C,18000,15.27,0.18,Y,1,1.7596574845958664
45000,RENT,0.0,VENTURE,C,4000,13.8,0.09,Y,1,0.2896574845958675
65000,MORTGAGE,6.0,MEDICAL,A,5600,7.49,0.08,N,0,0.15482415173465558
87000,MORTGAGE,0.0,VENTURE,C,12000,12.73,0.14,N,0,-0.7803425154041328
25000,RENT,4.0,DEBTCONSOLIDATION,C,2400,13.61,0.1,Y,0,0.09965748459586621
110000,RENT,5.0,HOMEIMPROVEMENT,B,25000,11.36,0.23,N,0,0.3252671568627452
49000,RENT,2.0,MEDICAL,B,2500,12.18,0.05,N,0,1.1452671568627455
57000,MORTGAGE,5.0,MEDICAL,C,1200,13.23,0.02,N,0,-0.2803425154041328
62000,MORTGAGE,1.0,VENTURE,A,15000,6.03,0.24,N,0,-1.3051758482653444
35000,MORTGAGE,8.0,EDUCATION,A,1500,7.51,0.04,N,0,0.17482415173465515
46000,RENT,0.0,HOMEIMPROVEMENT,E,12000,16.0,0.26,N,1,-0.9309613478691787
40000,RENT,8.0,PERSONAL,A,3000,5.42,0.07,N,0,-1.9151758482653447
50000,MORTGAGE,11.0,MEDICAL,A,7500,7.88,0.15,N,0,0.5448241517346553
28800,MORTGAGE,6.0,MEDICAL,B,5000,9.25,0.17,N,0,-1.7847328431372542
80000,MORTGAGE,5.0,EDUCATION,B,25000,12.21,0.31,N,0,1.1752671568627466
37680,RENT,1.0,VENTURE,A,15000,7.66,0.4,N,1,0.3248241517346555
40000,RENT,6.0,MEDICAL,C,3000,14.27,0.07,Y,0,0.7596574845958664
