person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status
120000,RENT,11.0,VENTURE,C,10000,13.61,0.08,Y,0
32000,RENT,2.0,DEBTCONSOLIDATION,E,5000,16.0,0.16,N,1
52660,MORTGAGE,2.0,HOMEIMPROVEMENT,B,15000,12.18,0.28,N,0
69000,RENT,6.0,MEDICAL,B,16000,10.37,0.23,N,0
100000,MORTGAGE,11.0,VENTURE,A,4500,5.79,0.04,N,0
68000,MORTGAGE,4.0,PERSONAL,A,11000,5.99,0.16,N,0
32000,RENT,4.0,DEBTCONSOLIDATION,A,5100,5.99,0.16,N,0
39000,RENT,7.0,EDUCATION,C,6000,12.68,0.15,N,0
59000,RENT,0.0,HOMEIMPROVEMENT,D,4000,14.61,0.08,N,1
43000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,8000,5.79,0.19,N,0
69000,RENT,0.0,EDUCATION,E,12000,15.95,0.17,Y,1
21000,RENT,1.0,PERSONAL,B,4000,11.86,0.19,N,0
30000,RENT,6.0,DEBTCONSOLIDATION,C,10000,14.72,0.33,N,1
45000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,10000,10.65,0.22,N,0
72000,MORTGAGE,4.0,MEDICAL,C,14000,12.68,0.19,Y,0
36000,MORTGAGE,5.0,MEDICAL,A,2800,6.99,0.08,N,0
48000,RENT,0.0,EDUCATION,C,3500,13.49,0.07,Y,0
116000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,5500,13.79,0.05,N,0
62900,RENT,6.0,MEDICAL,D,12000,15.95,0.16,N,1
40000,MORTGAGE,4.0,PERSONAL,B,6000,11.12,0.15,N,0
55000,RENT,3.0,EDUCATION,A,10000,8.94,0.18,N,0
35000,RENT,1.0,VENTURE,C,1800,13.22,0.05,Y,0
43200,OWN,6.0,PERSONAL,A,10000,7.49,0.23,N,0
26000,RENT,4.0,PERSONAL,B,5500,10.65,0.21,N,0
48000,RENT,4.0,PERSONAL,A,12000,7.49,0.25,N,0
95000,RENT,2.0,PERSONAL,A,2500,6.62,0.03,N,0
23000,RENT,2.0,EDUCATION,C,1000,13.48,0.04,Y,0
30000,RENT,6.0,MEDICAL,C,11000,13.49,0.36,N,1
28800,MORTGAGE,2.0,MEDICAL,B,2000,12.42,0.07,N,0
35000,OWN,4.0,HOMEIMPROVEMENT,A,5000,7.49,0.14,N,0
92500,RENT,5.0,MEDICAL,B,12000,11.71,0.13,N,0
37980,MORTGAGE,6.0,EDUCATION,A,3500,5.42,0.09,N,0
48000,RENT,2.0,HOMEIMPROVEMENT,A,6550,6.17,0.14,N,1
84000,MORTGAGE,5.0,MEDICAL,A,10000,6.03,0.12,N,0
42000,RENT,2.0,MEDICAL,B,8500,11.11,0.2,N,0
30000,OWN,4.0,EDUCATION,A,11000,7.49,0.37,N,0
45000,MORTGAGE,6.0,VENTURE,A,10800,6.03,0.24,N,0
134500,MORTGAGE,9.0,DEBTCONSOLIDATION,B,24000,10.99,0.18,N,0
130000,RENT,0.0,HOMEIMPROVEMENT,D,5000,15.65,0.04,Y,0
110000,MORTGAGE,4.0,VENTURE,C,9000,13.35,0.08,N,0
100000,MORTGAGE,7.0,EDUCATION,A,9800,7.9,0.1,N,0
39600,RENT,1.0,PERSONAL,D,10000,14.84,0.25,N,1
60000,MORTGAGE,1.0,PERSONAL,B,10000,10.99,0.17,N,0
30000,RENT,1.0,EDUCATION,C,5000,13.49,0.17,N,0
58000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,15000,6.17,0.26,N,0
14400,RENT,3.0,MEDICAL,C,3500,13.23,0.25,Y,1
90000,MORTGAGE,1.0,PERSONAL,C,20000,13.85,0.22,N,0
80000,MORTGAGE,1.0,VENTURE,B,5000,11.26,0.06,N,0
45000,MORTGAGE,8.0,VENTURE,B,9000,10.38,0.2,N,0
44000,RENT,5.0,MEDICAL,C,15000,13.11,0.34,Y,1
42000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,8500,15.58,0.21,Y,0
49000,RENT,0.0,MEDICAL,B,8000,12.18,0.16,N,0
50000,RENT,5.0,VENTURE,A,5000,7.51,0.1,N,0
46800,MORTGAGE,1.0,VENTURE,B,11200,11.99,0.24,N,0
30000,MORTGAGE,2.0,MEDICAL,B,10000,10.99,0.33,N,0
40800,MORTGAGE,1.0,HOMEIMPROVEMENT,B,12000,10.0,0.29,N,0
65000,MORTGAGE,6.0,EDUCATION,B,6000,9.63,0.09,N,0
102000,MORTGAGE,0.0,PERSONAL,A,20000,7.88,0.2,N,0
68000,MORTGAGE,2.0,PERSONAL,B,6000,11.49,0.09,N,0
85000,MORTGAGE,9.0,EDUCATION,C,20000,13.92,0.24,N,0
60000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,10000,6.17,0.17,N,0
52000,RENT,1.0,HOMEIMPROVEMENT,C,6400,13.23,0.12,N,0
138000,MORTGAGE,4.0,MEDICAL,A,5000,6.62,0.04,N,0
51600,RENT,10.0,HOMEIMPROVEMENT,B,3500,9.96,0.07,N,0
50000,RENT,4.0,EDUCATION,A,14000,8.9,0.28,N,0
72000,RENT,0.0,PERSONAL,D,20000,14.74,0.28,Y,1
50000,OWN,0.0,PERSONAL,A,6000,8.49,0.12,N,0
114400,MORTGAGE,7.0,PERSONAL,A,10000,6.54,0.09,N,0
40000,RENT,3.0,VENTURE,A,10000,7.66,0.25,N,0
70000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,12000,7.51,0.17,N,0
35000,MORTGAGE,6.0,MEDICAL,B,5000,10.65,0.14,N,0
100000,MORTGAGE,7.0,EDUCATION,A,12000,8.59,0.12,N,0
69996,MORTGAGE,2.0,VENTURE,C,10000,12.84,0.14,Y,0
56000,OWN,5.0,VENTURE,B,10000,10.65,0.18,N,0
75000,RENT,6.0,PERSONAL,C,6000,13.49,0.08,N,0
40000,RENT,1.0,MEDICAL,B,9500,12.69,0.24,N,0
26400,RENT,2.0,HOMEIMPROVEMENT,C,5500,14.35,0.21,N,1
75000,RENT,0.0,DEBTCONSOLIDATION,B,4000,9.99,0.05,N,0
100000,RENT,0.0,PERSONAL,C,25000,12.87,0.25,Y,0
48000,RENT,0.0,DEBTCONSOLIDATION,B,3000,9.99,0.06,N,0
72000,RENT,2.0,DEBTCONSOLIDATION,C,2400,14.17,0.03,N,0
130000,RENT,2.0,VENTURE,B,10000,9.99,0.08,N,0
80000,MORTGAGE,2.0,MEDICAL,A,5000,5.42,0.06,N,0
61000,MORTGAGE,7.0,VENTURE,C,1200,13.35,0.02,N,0
28000,MORTGAGE,7.0,VENTURE,A,3200,7.88,0.12,N,0
24000,MORTGAGE,2.0,EDUCATION,B,8875,11.49,0.36,N,0
115200,MORTGAGE,3.0,VENTURE,A,30000,7.9,0.23,N,0
50000,RENT,0.0,DEBTCONSOLIDATION,B,15000,10.51,0.3,N,0
84000,RENT,0.0,DEBTCONSOLIDATION,C,10000,14.26,0.12,Y,0
29004,RENT,6.0,PERSONAL,A,7750,8.94,0.26,N,1
24000,OWN,0.0,PERSONAL,B,12500,11.71,0.5,N,0
48000,RENT,5.0,VENTURE,C,10000,13.48,0.21,N,0
32000,RENT,0.0,VENTURE,B,10000,10.37,0.31,N,1
46700,RENT,7.0,HOMEIMPROVEMENT,D,9000,13.36,0.19,N,0
80000,RENT,0.0,HOMEIMPROVEMENT,A,4800,7.49,0.06,N,0
100000,RENT,3.0,VENTURE,D,1000,16.29,0.01,Y,0
53000,RENT,2.0,PERSONAL,A,8500,7.49,0.16,N,0
65000,MORTGAGE,7.0,PERSONAL,A,10000,7.9,0.15,N,0
97000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,5000,13.49,0.05,N,0
50000,RENT,3.0,MEDICAL,A,6000,6.17,0.12,N,0
32124,RENT,4.0,VENTURE,C,6000,13.22,0.19,Y,0
54400,RENT,8.0,VENTURE,D,5000,16.07,0.08,N,1
110000,MORTGAGE,5.0,EDUCATION,B,14000,11.49,0.13,N,0
80000,MORTGAGE,4.0,VENTURE,A,10000,7.51,0.13,N,0
35000,RENT,1.0,MEDICAL,B,5000,10.36,0.14,N,0
24000,RENT,3.0,PERSONAL,C,3000,12.53,0.13,Y,0
87000,RENT,3.0,HOMEIMPROVEMENT,A,20000,7.49,0.23,N,0
64000,MORTGAGE,4.0,VENTURE,A,8000,7.9,0.13,N,0
25000,RENT,1.0,EDUCATION,A,5500,7.74,0.22,N,0
76486,MORTGAGE,1.0,VENTURE,A,6000,7.9,0.08,N,0
52000,MORTGAGE,8.0,PERSONAL,A,4800,7.14,0.09,N,0
58000,OWN,9.0,HOMEIMPROVEMENT,A,3000,8.9,0.05,N,0
130000,MORTGAGE,14.0,VENTURE,A,6300,6.62,0.05,N,0
55000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,7500,11.86,0.14,N,1
135000,MORTGAGE,2.0,HOMEIMPROVEMENT,D,8000,16.77,0.06,Y,0
42000,RENT,0.0,MEDICAL,C,10000,13.49,0.24,N,0
40000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,8000,9.91,0.2,N,0
48000,RENT,2.0,MEDICAL,A,9000,8.0,0.19,N,0
31200,RENT,0.0,EDUCATION,B,6000,9.99,0.19,N,0
40000,RENT,0.0,EDUCATION,A,4000,7.88,0.1,N,0
45000,RENT,8.0,EDUCATION,A,7800,7.49,0.17,N,0
48712,MORTGAGE,7.0,DEBTCONSOLIDATION,A,5000,6.91,0.1,N,0
62000,RENT,2.0,DEBTCONSOLIDATION,C,10000,12.87,0.16,Y,0
40000,MORTGAGE,7.0,EDUCATION,A,6000,7.49,0.15,N,0
70000,RENT,9.0,MEDICAL,B,3000,11.71,0.04,N,0
90000,MORTGAGE,0.0,VENTURE,A,15000,8.94,0.17,N,0
57600,MORTGAGE,7.0,EDUCATION,A,6000,7.29,0.1,N,0
25000,RENT,0.0,EDUCATION,C,5000,13.23,0.2,N,0
52703,RENT,8.0,EDUCATION,A,4000,6.76,0.07,N,0
60000,MORTGAGE,8.0,PERSONAL,A,9000,7.49,0.15,N,0
50000,RENT,1.0,PERSONAL,C,7000,13.49,0.14,Y,0
120000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,8000,7.88,0.07,N,0
20000,RENT,2.0,VENTURE,A,5500,7.49,0.28,N,0
68000,RENT,5.0,MEDICAL,B,16800,11.99,0.24,N,0
74004,RENT,0.0,EDUCATION,D,25000,16.32,0.34,Y,1
49200,MORTGAGE,2.0,HOMEIMPROVEMENT,A,7000,6.76,0.14,N,0
50000,RENT,3.0,MEDICAL,B,2000,12.42,0.04,N,0
93000,RENT,1.0,HOMEIMPROVEMENT,C,9200,13.61,0.1,N,0
49548,RENT,6.0,EDUCATION,A,2400,12.84,0.05,N,0
52800,RENT,6.0,DEBTCONSOLIDATION,C,4800,14.65,0.09,Y,0
40000,RENT,5.0,VENTURE,C,9000,14.27,0.23,N,0
95004,OWN,7.0,EDUCATION,B,12000,10.0,0.13,N,0
45000,RENT,2.0,VENTURE,A,12000,7.88,0.27,N,0
90000,MORTGAGE,6.0,PERSONAL,A,10000,7.88,0.11,N,0
60000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,7000,7.88,0.12,N,0
52000,RENT,5.0,EDUCATION,A,6000,8.9,0.12,N,0
37600,RENT,6.0,EDUCATION,A,15000,6.03,0.4,N,1
50000,MORTGAGE,7.0,EDUCATION,B,10000,11.71,0.2,N,0
44000,RENT,2.0,MEDICAL,B,10000,10.65,0.23,N,0
54000,RENT,1.0,HOMEIMPROVEMENT,C,7000,13.98,0.13,N,0
42000,RENT,2.0,PERSONAL,B,4000,10.59,0.1,N,0
69360,OWN,5.0,MEDICAL,B,4000,11.14,0.06,N,0
65000,RENT,0.0,DEBTCONSOLIDATION,B,4500,9.88,0.07,N,0
50000,MORTGAGE,0.0,EDUCATION,C,4000,12.61,0.08,Y,0
110000,MORTGAGE,0.0,VENTURE,C,12000,13.48,0.11,Y,0
37000,RENT,0.0,DEBTCONSOLIDATION,B,6000,9.99,0.16,N,0
40000,RENT,1.0,DEBTCONSOLIDATION,B,2000,11.83,0.05,N,0
72000,RENT,6.0,DEBTCONSOLIDATION,A,10000,7.66,0.14,N,0
29000,OTHER,2.0,MEDICAL,C,4500,14.26,0.15,Y,1
23000,RENT,0.0,DEBTCONSOLIDATION,A,7000,8.9,0.3,N,0
60000,RENT,4.0,HOMEIMPROVEMENT,C,2000,13.49,0.03,Y,0
56000,MORTGAGE,5.0,PERSONAL,D,11200,15.31,0.21,N,0
50500,RENT,6.0,VENTURE,C,6000,12.53,0.12,N,0
150000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,6000,13.23,0.04,N,0
38400,RENT,5.0,EDUCATION,B,12000,10.38,0.31,N,1
78301,MORTGAGE,11.0,DEBTCONSOLIDATION,A,17500,6.54,0.22,N,0
43200,RENT,2.0,DEBTCONSOLIDATION,C,3200,12.99,0.07,N,0
170000,RENT,3.0,HOMEIMPROVEMENT,B,10000,10.37,0.06,N,0
69000,RENT,7.0,EDUCATION,D,11000,17.58,0.16,Y,0
62256,MORTGAGE,1.0,HOMEIMPROVEMENT,B,9000,10.59,0.14,Y,0
30000,MORTGAGE,3.0,VENTURE,B,3500,11.99,0.12,N,0
75000,RENT,1.0,HOMEIMPROVEMENT,A,10000,8.94,0.13,N,0
35000,RENT,3.0,MEDICAL,A,12325,6.54,0.34,N,1
150000,MORTGAGE,6.0,EDUCATION,B,12000,10.99,0.08,N,0
45000,RENT,5.0,MEDICAL,B,10000,10.99,0.22,N,0
42000,RENT,0.0,MEDICAL,B,5000,9.99,0.12,N,0
95000,RENT,4.0,HOMEIMPROVEMENT,A,35000,7.9,0.37,N,1
90000,RENT,0.0,VENTURE,B,15000,11.89,0.17,N,0
38000,RENT,5.0,PERSONAL,C,3000,13.49,0.08,N,0
82500,MORTGAGE,8.0,PERSONAL,A,10000,7.51,0.12,N,0
70000,MORTGAGE,0.0,PERSONAL,A,4000,8.0,0.06,N,0
120000,MORTGAGE,5.0,VENTURE,A,15000,7.49,0.12,N,0
43000,RENT,5.0,MEDICAL,B,10000,9.99,0.23,N,0
50000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,8000,13.61,0.16,Y,0
80000,RENT,4.0,VENTURE,B,12000,11.71,0.15,N,0
29000,RENT,7.0,PERSONAL,D,6000,16.77,0.21,Y,1
53250,RENT,1.0,VENTURE,B,8000,10.99,0.15,N,0
40000,RENT,6.0,DEBTCONSOLIDATION,A,2500,8.9,0.06,N,0
47000,RENT,0.0,PERSONAL,B,6000,9.99,0.13,N,0
30000,RENT,1.0,VENTURE,B,15000,12.42,0.5,N,1
50000,MORTGAGE,3.0,EDUCATION,D,2400,15.05,0.05,Y,0
56100,RENT,2.0,MEDICAL,D,7500,16.07,0.12,N,1
105000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,9600,14.27,0.09,Y,0
60000,RENT,11.0,VENTURE,A,3600,7.68,0.06,N,0
140000,MORTGAGE,6.0,MEDICAL,A,14000,6.62,0.1,N,0
50000,RENT,8.0,VENTURE,C,5000,12.53,0.1,N,0
90000,MORTGAGE,12.0,EDUCATION,A,9500,7.9,0.11,N,0
30000,RENT,2.0,DEBTCONSOLIDATION,B,6000,11.49,0.2,N,0
65000,RENT,1.0,EDUCATION,B,5000,11.49,0.08,N,0
77700,MORTGAGE,8.0,VENTURE,B,14000,10.99,0.18,N,0
60000,RENT,7.0,EDUCATION,A,7500,7.9,0.13,N,0
24000,RENT,0.0,MEDICAL,A,2700,7.88,0.11,N,0
90000,RENT,2.0,DEBTCONSOLIDATION,B,7000,12.69,0.08,N,0
89000,MORTGAGE,1.0,MEDICAL,B,14400,11.71,0.16,N,0
50000,RENT,2.0,EDUCATION,B,18000,10.62,0.36,N,1
60000,OWN,2.0,VENTURE,D,6000,14.96,0.1,N,0
56004,MORTGAGE,2.0,HOMEIMPROVEMENT,A,11000,7.66,0.19,N,0
85000,MORTGAGE,0.0,EDUCATION,A,5000,6.92,0.06,N,0
37000,MORTGAGE,8.0,PERSONAL,A,3300,7.9,0.09,N,0
140000,MORTGAGE,5.0,VENTURE,A,30000,7.9,0.22,N,0
35000,RENT,2.0,DEBTCONSOLIDATION,A,6500,9.32,0.18,N,0
100000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,12000,8.94,0.12,N,0
84996,MORTGAGE,4.0,EDUCATION,A,10000,7.88,0.12,N,0
91228,MORTGAGE,3.0,MEDICAL,B,12000,11.89,0.13,N,0
175000,MORTGAGE,6.0,EDUCATION,A,12000,7.49,0.05,N,0
56000,MORTGAGE,7.0,MEDICAL,A,6400,5.99,0.11,N,0
35000,MORTGAGE,2.0,MEDICAL,C,12500,15.96,0.35,N,0
140000,MORTGAGE,6.0,MEDICAL,A,12000,7.51,0.09,N,0
70000,RENT,3.0,PERSONAL,C,6000,14.27,0.09,Y,0
60000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,7000,7.51,0.12,N,0
35000,RENT,0.0,PERSONAL,B,2400,10.37,0.07,N,0
40000,OWN,1.0,EDUCATION,B,15000,11.71,0.38,N,0
140000,RENT,2.0,VENTURE,C,20000,12.29,0.14,Y,0
100000,MORTGAGE,1.0,MEDICAL,A,13750,6.91,0.14,N,0
52800,RENT,2.0,EDUCATION,C,5000,13.11,0.09,Y,0
45000,MORTGAGE,1.0,PERSONAL,C,2000,14.27,0.04,N,0
42000,RENT,4.0,VENTURE,B,5700,9.91,0.14,N,0
46800,RENT,2.0,DEBTCONSOLIDATION,A,2700,8.9,0.06,N,0
60000,MORTGAGE,9.0,PERSONAL,A,5000,7.49,0.08,N,0
45000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,5000,7.51,0.11,N,0
39000,RENT,6.0,DEBTCONSOLIDATION,D,16000,15.65,0.41,Y,1
121000,MORTGAGE,7.0,EDUCATION,B,8000,9.91,0.07,N,0
90000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,8000,6.03,0.09,N,0
45136,MORTGAGE,2.0,EDUCATION,B,10175,11.36,0.23,N,0
48000,RENT,6.0,EDUCATION,C,4400,11.03,0.09,N,0
43000,RENT,5.0,VENTURE,A,10000,7.51,0.23,N,0
68400,MORTGAGE,10.0,VENTURE,D,5000,15.33,0.08,Y,0
36707,RENT,3.0,DEBTCONSOLIDATION,D,10000,14.54,0.27,N,1
140000,MORTGAGE,15.0,PERSONAL,C,8000,14.65,0.06,N,0
40000,MORTGAGE,8.0,EDUCATION,D,35000,17.58,0.09,N,0
44000,MORTGAGE,2.0,EDUCATION,A,10000,6.91,0.23,N,0
85000,RENT,1.0,EDUCATION,A,10000,7.29,0.12,N,0
50000,RENT,3.0,PERSONAL,E,10000,17.14,0.2,N,0
27000,RENT,3.0,MEDICAL,B,6000,12.42,0.22,N,0
40000,RENT,6.0,EDUCATION,B,14400,10.65,0.35,N,1
50000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,6000,6.92,0.12,N,0
35300,RENT,2.0,EDUCATION,C,6000,14.27,0.17,N,1
60000,RENT,9.0,HOMEIMPROVEMENT,A,15000,6.99,0.25,N,0
78000,RENT,8.0,DEBTCONSOLIDATION,B,6000,11.71,0.08,N,0
90000,MORTGAGE,3.0,EDUCATION,B,24250,10.62,0.27,N,0
65000,MORTGAGE,5.0,VENTURE,A,6000,7.51,0.09,N,0
100000,MORTGAGE,1.0,PERSONAL,A,8000,5.79,0.08,N,0
45000,RENT,5.0,PERSONAL,C,14000,12.84,0.31,N,0
58977,RENT,9.0,EDUCATION,D,17500,14.84,0.29,N,1
70000,MORTGAGE,7.0,EDUCATION,B,5200,11.11,0.08,N,0
52800,RENT,0.0,EDUCATION,C,5600,13.98,0.11,N,0
50000,MORTGAGE,2.0,PERSONAL,B,3000,10.95,0.06,N,0
30000,MORTGAGE,2.0,MEDICAL,A,10000,7.51,0.33,N,0
45000,MORTGAGE,21.0,HOMEIMPROVEMENT,B,4000,9.88,0.09,N,0
26400,MORTGAGE,4.0,DEBTCONSOLIDATION,C,7000,14.27,0.27,Y,0
96000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,15000,6.03,0.16,N,0
45000,RENT,4.0,PERSONAL,C,15000,13.06,0.33,Y,1
88000,RENT,4.0,MEDICAL,A,6000,7.14,0.07,N,0
56208,MORTGAGE,7.0,MEDICAL,D,6500,15.62,0.11,N,1
42000,MORTGAGE,5.0,PERSONAL,A,10000,8.59,0.24,N,0
68000,RENT,9.0,VENTURE,A,3600,7.14,0.05,N,0
50000,RENT,13.0,HOMEIMPROVEMENT,A,14000,7.51,0.28,N,0
47000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,8500,10.99,0.18,N,0
78000,OWN,8.0,EDUCATION,C,24250,13.92,0.31,N,0
135000,RENT,5.0,EDUCATION,B,25000,10.75,0.19,N,0
70000,RENT,3.0,EDUCATION,C,7500,13.11,0.11,Y,0
81500,MORTGAGE,9.0,EDUCATION,C,6000,15.23,0.07,Y,0
48715,RENT,2.0,VENTURE,C,12000,12.87,0.25,N,0
54000,RENT,8.0,DEBTCONSOLIDATION,D,15000,14.42,0.28,Y,1
175000,MORTGAGE,6.0,VENTURE,B,5000,10.59,0.02,N,0
36000,OWN,2.0,MEDICAL,A,1800,6.54,0.05,N,0
120000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,12000,6.03,0.1,N,0
78504,RENT,6.0,MEDICAL,B,25000,11.12,0.32,N,1
63500,MORTGAGE,9.0,PERSONAL,A,12000,5.42,0.19,N,0
25000,RENT,4.0,PERSONAL,C,8000,13.49,0.32,Y,1
78000,MORTGAGE,6.0,EDUCATION,C,10000,14.27,0.13,Y,0
45000,MORTGAGE,7.0,VENTURE,A,11800,5.79,0.25,N,0
70000,MORTGAGE,3.0,VENTURE,A,15000,7.14,0.21,N,0
36000,MORTGAGE,3.0,VENTURE,A,5000,7.51,0.14,N,0
75000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,12000,5.99,0.16,N,0
63500,OWN,0.0,EDUCATION,C,2500,14.72,0.04,N,0
40000,RENT,4.0,VENTURE,B,7000,12.69,0.17,N,0
85000,MORTGAGE,9.0,PERSONAL,B,10000,9.99,0.12,N,0
32004,RENT,10.0,DEBTCONSOLIDATION,C,5000,13.99,0.16,N,0
48000,RENT,14.0,DEBTCONSOLIDATION,E,19750,15.13,0.4,N,1
69000,RENT,0.0,EDUCATION,C,15000,13.22,0.22,Y,1
54000,RENT,2.0,VENTURE,C,6000,14.27,0.11,N,0
70000,MORTGAGE,6.0,PERSONAL,A,10200,6.03,0.15,N,0
76000,MORTGAGE,4.0,PERSONAL,A,5500,7.49,0.07,N,0
60000,OWN,3.0,EDUCATION,C,4000,14.22,0.07,Y,0
69000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,18000,13.49,0.26,Y,0
48996,RENT,7.0,MEDICAL,D,2500,14.59,0.05,Y,1
95950,MORTGAGE,9.0,DEBTCONSOLIDATION,A,7000,7.74,0.07,N,0
45000,RENT,7.0,EDUCATION,B,10000,11.89,0.22,N,0
43200,MORTGAGE,4.0,VENTURE,A,7500,6.62,0.18,N,0
51600,MORTGAGE,1.0,MEDICAL,D,5000,14.96,0.1,Y,1
60000,MORTGAGE,1.0,EDUCATION,B,4000,10.37,0.07,N,0
120000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,12000,13.85,0.1,Y,0
65000,MORTGAGE,3.0,MEDICAL,A,15000,7.88,0.23,N,0
37200,RENT,5.0,VENTURE,A,10000,7.4,0.27,N,0
70000,MORTGAGE,9.0,PERSONAL,B,12000,10.99,0.17,N,0
98000,OWN,11.0,MEDICAL,B,16000,10.99,0.16,N,0
18000,RENT,2.0,HOMEIMPROVEMENT,C,7600,13.06,0.42,Y,1
50000,RENT,0.0,HOMEIMPROVEMENT,B,3000,11.49,0.06,N,0
75000,MORTGAGE,6.0,PERSONAL,B,10000,11.99,0.13,N,0
52000,MORTGAGE,7.0,EDUCATION,B,10000,10.59,0.19,N,0
103250,MORTGAGE,7.0,EDUCATION,C,24000,13.11,0.23,Y,0
36000,MORTGAGE,5.0,PERSONAL,A,3350,5.42,0.09,N,0
36000,RENT,3.0,DEBTCONSOLIDATION,A,10000,7.51,0.28,N,0
55000,RENT,7.0,MEDICAL,C,8000,13.49,0.15,N,0
70000,RENT,6.0,MEDICAL,B,20000,12.21,0.29,N,0
60000,MORTGAGE,9.0,DEBTCONSOLIDATION,C,5000,12.99,0.08,Y,0
58650,MORTGAGE,21.0,VENTURE,B,4000,10.59,0.07,N,0
96000,MORTGAGE,1.0,MEDICAL,C,1000,14.72,0.01,Y,0
50000,RENT,2.0,HOMEIMPROVEMENT,C,8400,14.72,0.17,Y,0
36000,OWN,7.0,VENTURE,B,15000,9.83,0.42,N,0
56000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,2800,10.65,0.05,N,0
30000,RENT,0.0,DEBTCONSOLIDATION,B,3600,10.37,0.11,N,0
59004,MORTGAGE,2.0,DEBTCONSOLIDATION,D,20000,15.58,0.34,Y,1
60000,RENT,2.0,EDUCATION,D,8000,14.96,0.13,N,1
80000,MORTGAGE,13.0,PERSONAL,A,14000,6.62,0.17,N,0
37000,RENT,0.0,VENTURE,E,14000,18.64,0.36,N,1
56000,MORTGAGE,1.0,EDUCATION,C,6000,12.99,0.11,Y,0
55000,RENT,5.0,EDUCATION,A,17000,6.91,0.31,N,1
30000,RENT,5.0,VENTURE,C,8000,13.49,0.27,N,0
115000,MORTGAGE,5.0,MEDICAL,A,4500,7.49,0.04,N,0
39000,RENT,3.0,EDUCATION,A,6000,7.51,0.15,N,1
42000,MORTGAGE,4.0,DEBTCONSOLIDATION,E,15000,17.99,0.36,Y,1
175000,MORTGAGE,11.0,PERSONAL,B,20000,8.88,0.11,N,0
49200,RENT,4.0,MEDICAL,C,3000,13.48,0.06,N,0
91000,RENT,5.0,PERSONAL,C,8000,13.49,0.09,N,0
60000,RENT,7.0,PERSONAL,C,12000,12.53,0.2,Y,0
50000,RENT,0.0,DEBTCONSOLIDATION,A,3000,8.59,0.06,N,0
60000,MORTGAGE,5.0,MEDICAL,C,15000,14.22,0.25,N,0
65000,RENT,0.0,PERSONAL,B,16000,9.99,0.25,N,0
80000,MORTGAGE,7.0,MEDICAL,B,7500,10.71,0.09,N,0
44000,MORTGAGE,8.0,PERSONAL,E,10000,17.14,0.23,N,1
70000,MORTGAGE,7.0,EDUCATION,A,8000,7.66,0.11,N,0
75000,MORTGAGE,4.0,MEDICAL,B,13650,10.65,0.18,N,0
34000,RENT,1.0,VENTURE,C,3200,14.79,0.09,Y,0
50000,RENT,4.0,DEBTCONSOLIDATION,A,15000,7.88,0.3,N,0
110000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,7.51,0.09,N,0
52500,RENT,6.0,HOMEIMPROVEMENT,B,9000,12.42,0.16,N,0
140000,MORTGAGE,11.0,MEDICAL,A,25000,7.51,0.18,N,0
48000,RENT,5.0,EDUCATION,B,5000,12.42,0.1,N,0
80000,RENT,9.0,DEBTCONSOLIDATION,B,5500,10.99,0.07,N,0
43000,RENT,1.0,MEDICAL,B,12000,10.74,0.28,N,0
30000,RENT,0.0,HOMEIMPROVEMENT,D,6500,17.58,0.22,Y,1
59000,RENT,1.0,PERSONAL,D,12250,14.59,0.2,Y,1
65000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,6500,7.51,0.1,N,0
50000,RENT,6.0,VENTURE,D,6500,14.96,0.13,Y,0
54000,MORTGAGE,11.0,VENTURE,A,11700,8.49,0.21,N,0
50000,RENT,4.0,DEBTCONSOLIDATION,A,6400,7.88,0.13,N,0
80000,MORTGAGE,0.0,EDUCATION,A,7000,8.59,0.09,N,0
